Date,Amount Spending
2002/1/1,3180000000
2002/2/1,2979000000
2002/3/1,2966000000
2002/4/1,3772000000
2002/5/1,4991000000
2002/6/1,5597000000
2002/7/1,6180000000
2002/8/1,6621000000
2002/9/1,6549000000
2002/10/1,5917000000
2002/11/1,4696000000
2002/12/1,4035000000
2003/1/1,3077000000
2003/2/1,2824000000
2003/3/1,3021000000
2003/4/1,3865000000
2003/5/1,4793000000
2003/6/1,5695000000
2003/7/1,5975000000
2003/8/1,6519000000
2003/9/1,6864000000
2003/10/1,5977000000
2003/11/1,4865000000
2003/12/1,3664000000
2004/1/1,2886000000
2004/2/1,2716000000
2004/3/1,3434000000
2004/4/1,4270000000
2004/5/1,5246000000
2004/6/1,6161000000
2004/7/1,6213000000
2004/8/1,6517000000
2004/9/1,6184000000
2004/10/1,5842000000
2004/11/1,5287000000
2004/12/1,3868000000
2005/1/1,2978000000
2005/2/1,3169000000
2005/3/1,3636000000
2005/4/1,4395000000
2005/5/1,5632000000
2005/6/1,6565000000
2005/7/1,6815000000
2005/8/1,7365000000
2005/9/1,7383000000
2005/10/1,6558000000
2005/11/1,5505000000
2005/12/1,4139000000
2006/1/1,3288000000
2006/2/1,3399000000
2006/3/1,4150000000
2006/4/1,5216000000
2006/5/1,6729000000
2006/6/1,7705000000
2006/7/1,8048000000
2006/8/1,8358000000
2006/9/1,7640000000
2006/10/1,7073000000
2006/11/1,6002000000
2006/12/1,4431000000
2007/1/1,3909000000
2007/2/1,3817000000
2007/3/1,4405000000
2007/4/1,5419000000
2007/5/1,6821000000
2007/6/1,7560000000
2007/7/1,7808000000
2007/8/1,8790000000
2007/9/1,8520000000
2007/10/1,8023000000
2007/11/1,6703000000
2007/12/1,4907000000
2008/1/1,3757000000
2008/2/1,3989000000
2008/3/1,4734000000
2008/4/1,5844000000
2008/5/1,6894000000
2008/6/1,8064000000
2008/7/1,8900000000
2008/8/1,9188000000
2008/9/1,9435000000
2008/10/1,8639000000
2008/11/1,6908000000
2008/12/1,5010000000
2009/1/1,3821000000
2009/2/1,3943000000
2009/3/1,4530000000
2009/4/1,5649000000
2009/5/1,6695000000
2009/6/1,8513000000
2009/7/1,9222000000
2009/8/1,9547000000
2009/9/1,9694000000
2009/10/1,8829000000
2009/11/1,6871000000
2009/12/1,4852000000
2010/1/1,3584000000
2010/2/1,3796000000
2010/3/1,4564000000
2010/4/1,5728000000
2010/5/1,7055000000
2010/6/1,8468000000
2010/7/1,8379000000
2010/8/1,9653000000
2010/9/1,9920000000
2010/10/1,8962000000
2010/11/1,7352000000
2010/12/1,5068000000
2011/1/1,3760000000
2011/2/1,3794000000
2011/3/1,4431000000
2011/4/1,5160000000
2011/5/1,6398000000
2011/6/1,7869000000
2011/7/1,8108000000
2011/8/1,9207000000
2011/9/1,9466000000
2011/10/1,8591000000
2011/11/1,7412000000
2011/12/1,5128000000
2012/1/1,3714000000
2012/2/1,4044000000
2012/3/1,4385000000
2012/4/1,5631000000
2012/5/1,7361000000
2012/6/1,8720000000
2012/7/1,8827000000
2012/8/1,9616000000
2012/9/1,8739000000
2012/10/1,8259000000
2012/11/1,6684000000
2012/12/1,4566000000
2013/1/1,3701000000
2013/2/1,3804000000
2013/3/1,4051000000
2013/4/1,5604000000
2013/5/1,7105000000
2013/6/1,8320000000
2013/7/1,9092000000
2013/8/1,9798000000
2013/9/1,9415000000
2013/10/1,8687000000
2013/11/1,6855000000
2013/12/1,4932000000
2014/1/1,3864000000
2014/2/1,3884000000
2014/3/1,4530000000
2014/4/1,5949000000
2014/5/1,7329000000
2014/6/1,8030000000
2014/7/1,9318000000
2014/8/1,9857000000
2014/9/1,9697000000
2014/10/1,9598000000
2014/11/1,7308000000
2014/12/1,5379000000
2015/1/1,3887000000
2015/2/1,3946000000
2015/3/1,4534000000
2015/4/1,6247000000
2015/5/1,7610000000
2015/6/1,9369000000
2015/7/1,10079000000
2015/8/1,10777000000
2015/9/1,10469000000
2015/10/1,9739000000
2015/11/1,7216000000
2015/12/1,5878000000
2016/1/1,4500000000
2016/2/1,4562000000
2016/3/1,5252000000
2016/4/1,6130000000
2016/5/1,7520000000
2016/6/1,9059000000
2016/7/1,9462000000
2016/8/1,10166000000
2016/9/1,9735000000
